symbol,price,prev_close,pct_change,volume,volume_ratio,category
^INDIAVIX,11.12,10.32,7.8,0,1.0,Weak Bull
TECHM,1591.8,1570.8,1.34,2833472,1.25,Neutral
POLICYBZR,1913.9,1893.8,1.06,3420673,2.02,Neutral
WIPRO,261.38,259.91,0.57,9682865,0.9,Neutral
HCLTECH,1688.6,1683.0,0.33,2702390,0.92,Neutral
MFSL,1695.3,1690.2,0.3,801321,1.58,Neutral
DALBHARAT,1993.8,1989.0,0.24,553057,2.53,Neutral
SHREECEM,26135.0,26075.0,0.23,48561,1.53,Neutral
RELIANCE,1543.0,1540.6,0.16,11301028,1.11,Neutral
SUZLON,51.78,51.74,0.08,97427828,1.53,Neutral
HDFCBANK,1003.1,1003.3,-0.02,12900796,0.78,Neutral
CUMMINSIND,4467.0,4468.9,-0.04,451510,1.02,Neutral
TCS,3236.5,3238.2,-0.05,2544661,0.66,Neutral
GRASIM,2744.2,2747.0,-0.1,715668,1.8,Neutral
SBILIFE,2020.7,2023.7,-0.15,1050197,1.34,Neutral
ICICIBANK,1389.6,1392.5,-0.21,7825756,0.97,Neutral
PHOENIXLTD,1721.1,1725.1,-0.23,531853,1.66,Neutral
INFY,1610.8,1616.2,-0.33,7548995,0.76,Neutral
VOLTAS,1322.5,1327.0,-0.34,335954,0.48,Neutral
CHOLAFIN,1724.4,1730.4,-0.35,1060171,1.01,Neutral
HINDALCO,819.45,823.25,-0.46,4354455,1.03,Neutral
ABCAPITAL,357.1,358.75,-0.46,3662430,1.17,Neutral
ULTRACEMCO,11540.0,11597.0,-0.49,148184,0.8,Neutral
SUNPHARMA,1796.2,1805.3,-0.5,2410070,1.1,Neutral
PATANJALI,547.85,550.8,-0.54,1967247,0.91,Neutral
HDFCLIFE,764.05,768.3,-0.55,3775398,1.45,Neutral
LTIM,6256.0,6292.0,-0.57,253030,0.74,Neutral
MARUTI,16187.0,16282.0,-0.58,220493,0.76,Neutral
PAGEIND,37235.0,37455.0,-0.59,15077,0.44,Neutral
BSE,2798.8,2815.9,-0.61,5898689,1.67,Neutral
NUVAMA,7127.0,7172.5,-0.63,151668,1.98,Neutral
MUTHOOTFIN,3775.7,3800.1,-0.64,452750,1.29,Neutral
ITC,402.3,404.95,-0.65,6055141,0.81,Neutral
BLUESTARCO,1723.2,1734.4,-0.65,208590,0.83,Neutral
ICICIGI,1961.1,1974.4,-0.67,415417,1.08,Neutral
SUPREMEIND,3348.4,3371.1,-0.67,279616,1.16,Neutral
DRREDDY,1266.5,1275.2,-0.68,1435841,0.61,Neutral
TORNTPHARM,3760.0,3785.9,-0.68,144527,0.57,Neutral
FEDERALBNK,257.45,259.2,-0.68,5397323,0.91,Neutral
AXISBANK,1273.8,1282.5,-0.68,2969478,0.72,Neutral
COALINDIA,377.35,379.95,-0.68,3910714,1.05,Neutral
ZYDUSLIFE,924.6,931.45,-0.74,632149,0.72,Neutral
BPCL,357.55,360.3,-0.76,6761990,1.07,Neutral
